agent_id,agent_name,rule_description,rule_groups,rule_id,rule_level,rule_mitre,sample_id,source_line,timestamp
001,Windows-Host,Powershell script may be using Base64 decoding method,windows; powershell,91809,10,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",OBF-001,1,2026-07-05T14:09:14.537+0200
001,Windows-Host,Powershell script may be using Base64 decoding method,windows; powershell,91809,10,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",OBF-002,2,2026-07-05T14:09:14.614+0200
001,Windows-Host,Powershell script may be using Base64 decoding method,windows; powershell,91809,10,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",OBF-003,3,2026-07-05T14:09:15.500+0200
001,Windows-Host,Powershell script may be using Base64 decoding method,windows; powershell,91809,10,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",OBF-004,4,2026-07-05T14:09:15.547+0200
001,Windows-Host,Powershell script may be using Base64 decoding method,windows; powershell,91809,10,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",OBF-005,5,2026-07-05T14:09:15.844+0200
001,Windows-Host,Powershell executing process discovery,windows; powershell,91815,4,"{""id"": [""T1057""], ""tactic"": [""Discovery""], ""technique"": [""Process Discovery""]}",BEN-001,6,2026-07-05T14:11:05.667+0200
001,Windows-Host,Powershell script querying system environment variables,windows; powershell,91816,4,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",BEN-009,7,2026-07-05T14:11:12.338+0200
001,Windows-Host,Powershell script querying system environment variables,windows; powershell,91816,4,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",BEN-010,8,2026-07-05T14:11:12.454+0200
001,Windows-Host,Powershell script searching filesystem,windows; powershell,91819,4,"{""id"": [""T1083""], ""tactic"": [""Discovery""], ""technique"": [""File and Directory Discovery""]}",BEN-012,9,2026-07-05T14:11:12.793+0200
001,Windows-Host,Powershell executing process discovery,windows; powershell,91815,4,"{""id"": [""T1057""], ""tactic"": [""Discovery""], ""technique"": [""Process Discovery""]}",BEN-017,10,2026-07-05T14:11:20.926+0200
001,Windows-Host,Powershell script querying system environment variables,windows; powershell,91816,4,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",BEN-018,11,2026-07-05T14:11:21.042+0200
001,Windows-Host,Powershell executing process discovery,windows; powershell,91815,4,"{""id"": [""T1057""], ""tactic"": [""Discovery""], ""technique"": [""Process Discovery""]}",BEN-019,12,2026-07-05T14:11:21.060+0200
001,Windows-Host,Powershell script querying system environment variables,windows; powershell,91816,4,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",BEN-032,13,2026-07-05T14:11:29.962+0200
001,Windows-Host,Powershell script querying system environment variables,windows; powershell,91816,4,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",BEN-033,14,2026-07-05T14:11:29.970+0200
001,Windows-Host,Powershell executing process discovery,windows; powershell,91815,4,"{""id"": [""T1057""], ""tactic"": [""Discovery""], ""technique"": [""Process Discovery""]}",BEN-036,15,2026-07-05T14:11:31.090+0200
001,Windows-Host,Powershell script searching filesystem,windows; powershell,91819,4,"{""id"": [""T1083""], ""tactic"": [""Discovery""], ""technique"": [""File and Directory Discovery""]}",BEN-049,16,2026-07-05T14:11:38.552+0200
001,Windows-Host,Powershell script querying system environment variables,windows; powershell,91816,4,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",BEN-050,17,2026-07-05T14:11:39.601+0200
001,Windows-Host,Powershell executing process discovery,windows; powershell,91815,4,"{""id"": [""T1057""], ""tactic"": [""Discovery""], ""technique"": [""Process Discovery""]}",BEN-051,18,2026-07-05T14:11:39.781+0200
001,Windows-Host,Powershell script querying system environment variables,windows; powershell,91816,4,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",BEN-059,19,2026-07-05T14:11:41.564+0200
001,Windows-Host,Powershell script querying system environment variables,windows; powershell,91816,4,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",BEN-060,20,2026-07-05T14:11:41.751+0200
001,Windows-Host,Powershell script searching filesystem,windows; powershell,91819,4,"{""id"": [""T1083""], ""tactic"": [""Discovery""], ""technique"": [""File and Directory Discovery""]}",BEN-062,21,2026-07-05T14:11:41.776+0200
001,Windows-Host,Powershell executing process discovery,windows; powershell,91815,4,"{""id"": [""T1057""], ""tactic"": [""Discovery""], ""technique"": [""Process Discovery""]}",BEN-067,22,2026-07-05T14:11:44.082+0200
001,Windows-Host,Powershell script querying system environment variables,windows; powershell,91816,4,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",BEN-068,23,2026-07-05T14:11:44.107+0200
001,Windows-Host,Powershell executing process discovery,windows; powershell,91815,4,"{""id"": [""T1057""], ""tactic"": [""Discovery""], ""technique"": [""Process Discovery""]}",BEN-069,24,2026-07-05T14:11:44.149+0200
001,Windows-Host,Powershell script querying system environment variables,windows; powershell,91816,4,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",BEN-082,25,2026-07-05T14:11:53.388+0200
001,Windows-Host,Powershell script querying system environment variables,windows; powershell,91816,4,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",BEN-083,26,2026-07-05T14:11:53.404+0200
001,Windows-Host,Powershell executing process discovery,windows; powershell,91815,4,"{""id"": [""T1057""], ""tactic"": [""Discovery""], ""technique"": [""Process Discovery""]}",BEN-086,27,2026-07-05T14:11:53.600+0200
001,Windows-Host,Powershell script searching filesystem,windows; powershell,91819,4,"{""id"": [""T1083""], ""tactic"": [""Discovery""], ""technique"": [""File and Directory Discovery""]}",BEN-099,28,2026-07-05T14:11:58.784+0200
001,Windows-Host,Powershell script querying system environment variables,windows; powershell,91816,4,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",BEN-100,29,2026-07-05T14:11:58.790+0200
001,Windows-Host,Powershell script may be using Base64 decoding method,windows; powershell,91809,10,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",BEN-103,30,2026-07-05T14:11:58.854+0200
001,Windows-Host,Powershell script querying system environment variables,windows; powershell,91816,4,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",BEN-104,31,2026-07-05T14:11:58.913+0200
001,Windows-Host,Powershell script may be using Base64 decoding method,windows; powershell,91809,10,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",BEN-122,32,2026-07-05T14:12:02.214+0200
001,Windows-Host,Powershell script querying system environment variables,windows; powershell,91816,4,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",BEN-123,33,2026-07-05T14:12:02.226+0200
001,Windows-Host,Powershell executing process discovery,windows; powershell,91815,4,"{""id"": [""T1057""], ""tactic"": [""Discovery""], ""technique"": [""Process Discovery""]}",BEN-124,34,2026-07-05T14:12:03.028+0200
001,Windows-Host,Powershell script may be using Base64 decoding method,windows; powershell,91809,10,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",BEN-128,35,2026-07-05T14:12:03.042+0200
001,Windows-Host,Powershell script querying system environment variables,windows; powershell,91816,4,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",BEN-129,36,2026-07-05T14:12:03.049+0200
001,Windows-Host,Powershell script may be using Base64 decoding method,windows; powershell,91809,10,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",BEN-147,37,2026-07-05T14:12:06.447+0200
001,Windows-Host,Powershell executing process discovery,windows; powershell,91815,4,"{""id"": [""T1057""], ""tactic"": [""Discovery""], ""technique"": [""Process Discovery""]}",BEN-149,38,2026-07-05T14:12:06.601+0200
001,Windows-Host,Powershell script querying system environment variables,windows; powershell,91816,4,"{""id"": [""T1082""], ""tactic"": [""Discovery""], ""technique"": [""System Information Discovery""]}",BEN-148,39,2026-07-05T14:12:06.601+0200
001,Windows-Host,"Powershell script used ""Invoke-command"" cmdlet to execute code on remote computer",windows; powershell,91823,14,"{""id"": [""T1059.001"", ""T1021.006""], ""tactic"": [""Execution"", ""Lateral Movement""], ""technique"": [""PowerShell"", ""Windows Remote Management""]}",SIM-009,40,2026-07-05T14:12:08.191+0200
001,Windows-Host,Powershell script may be using Base64 decoding method,windows; powershell,91809,10,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",OBF-001,41,2026-07-05T14:12:11.410+0200
001,Windows-Host,Powershell script may be using Base64 decoding method,windows; powershell,91809,10,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",OBF-002,42,2026-07-05T14:12:11.415+0200
001,Windows-Host,Powershell script may be using Base64 decoding method,windows; powershell,91809,10,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",OBF-003,43,2026-07-05T14:12:11.419+0200
001,Windows-Host,Powershell script may be using Base64 decoding method,windows; powershell,91809,10,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",OBF-004,44,2026-07-05T14:12:11.443+0200
001,Windows-Host,Powershell script may be using Base64 decoding method,windows; powershell,91809,10,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",OBF-005,45,2026-07-05T14:12:11.455+0200
001,Windows-Host,Powershell script may be using Base64 decoding method,windows; powershell,91809,10,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",OBF-006,46,2026-07-05T14:12:11.629+0200
001,Windows-Host,Powershell script may be using Base64 decoding method,windows; powershell,91809,10,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",OBF-007,47,2026-07-05T14:12:11.646+0200
001,Windows-Host,Powershell script may be using Base64 decoding method,windows; powershell,91809,10,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",OBF-008,48,2026-07-05T14:12:11.666+0200
001,Windows-Host,Powershell script may be using Base64 decoding method,windows; powershell,91809,10,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",OBF-009,49,2026-07-05T14:12:11.704+0200
001,Windows-Host,Powershell script may be using Base64 decoding method,windows; powershell,91809,10,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",OBF-010,50,2026-07-05T14:12:12.550+0200
001,Windows-Host,Powershell script may be using Base64 decoding method,windows; powershell,91809,10,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",OBF-011,51,2026-07-05T14:12:12.559+0200
001,Windows-Host,Powershell script may be using Base64 decoding method,windows; powershell,91809,10,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",OBF-012,52,2026-07-05T14:12:12.574+0200
001,Windows-Host,Powershell script may be using Base64 decoding method,windows; powershell,91809,10,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",OBF-013,53,2026-07-05T14:12:12.586+0200
001,Windows-Host,Powershell script may be using Base64 decoding method,windows; powershell,91809,10,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",OBF-014,54,2026-07-05T14:12:12.602+0200
001,Windows-Host,Powershell script may be using Base64 decoding method,windows; powershell,91809,10,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",OBF-015,55,2026-07-05T14:12:12.637+0200
001,Windows-Host,Powershell script may be using Base64 decoding method,windows; powershell,91809,10,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",OBF-016,56,2026-07-05T14:12:12.655+0200
001,Windows-Host,Powershell script may be using Base64 decoding method,windows; powershell,91809,10,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",OBF-017,57,2026-07-05T14:12:13.558+0200
001,Windows-Host,Powershell script may be using Base64 decoding method,windows; powershell,91809,10,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",OBF-018,58,2026-07-05T14:12:13.575+0200
001,Windows-Host,Powershell script may be using Base64 decoding method,windows; powershell,91809,10,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",OBF-019,59,2026-07-05T14:12:13.583+0200
001,Windows-Host,Powershell script may be using Base64 decoding method,windows; powershell,91809,10,"{""id"": [""T1140""], ""tactic"": [""Defense Evasion""], ""technique"": [""Deobfuscate/Decode Files or Information""]}",OBF-020,60,2026-07-05T14:12:13.600+0200
001,Windows-Host,"Powershell executed ""Get-Content -Stream or Invoke-Expresion"". Possible string execution as code",windows; powershell,91837,4,"{""id"": [""T1059.001""], ""tactic"": [""Execution""], ""technique"": [""PowerShell""]}",OBF-022,61,2026-07-05T14:12:13.655+0200
001,Windows-Host,Powershell executing process discovery,windows; powershell,91815,4,"{""id"": [""T1057""], ""tactic"": [""Discovery""], ""technique"": [""Process Discovery""]}",OBF-029,62,2026-07-05T14:12:14.846+0200
001,Windows-Host,"Powershell executed ""Get-Content -Stream or Invoke-Expresion"". Possible string execution as code",windows; powershell,91837,4,"{""id"": [""T1059.001""], ""tactic"": [""Execution""], ""technique"": [""PowerShell""]}",OBF-042,63,2026-07-05T14:12:16.561+0200
001,Windows-Host,Powershell executing process discovery,windows; powershell,91815,4,"{""id"": [""T1057""], ""tactic"": [""Discovery""], ""technique"": [""Process Discovery""]}",OBF-049,64,2026-07-05T14:12:16.813+0200
001,Windows-Host,"Powershell executed ""Get-Content -Stream or Invoke-Expresion"". Possible string execution as code",windows; powershell,91837,4,"{""id"": [""T1059.001""], ""tactic"": [""Execution""], ""technique"": [""PowerShell""]}",OBF-062,65,2026-07-05T14:12:18.715+0200
001,Windows-Host,"Powershell script used ""Invoke-command"" cmdlet to execute code on remote computer",windows; powershell,91823,14,"{""id"": [""T1059.001"", ""T1021.006""], ""tactic"": [""Execution"", ""Lateral Movement""], ""technique"": [""PowerShell"", ""Windows Remote Management""]}",OBF-069,66,2026-07-05T14:12:19.786+0200
001,Windows-Host,"Powershell executed ""Get-Content -Stream or Invoke-Expresion"". Possible string execution as code",windows; powershell,91837,4,"{""id"": [""T1059.001""], ""tactic"": [""Execution""], ""technique"": [""PowerShell""]}",OBF-082,67,2026-07-05T14:12:21.007+0200
001,Windows-Host,Powershell executing process discovery,windows; powershell,91815,4,"{""id"": [""T1057""], ""tactic"": [""Discovery""], ""technique"": [""Process Discovery""]}",OBF-089,68,2026-07-05T14:12:21.981+0200
001,Windows-Host,"Powershell executed ""Get-Content -Stream or Invoke-Expresion"". Possible string execution as code",windows; powershell,91837,4,"{""id"": [""T1059.001""], ""tactic"": [""Execution""], ""technique"": [""PowerShell""]}",OBF-102,69,2026-07-05T14:12:23.271+0200
